Kind,Name,AvgCyclomatic,CountClassCoupled,MaxCyclomatic,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Package,cn.edu.bit.cangjingge.common,0,,0,,,,0
Package,cn.edu.bit.cangjingge.common.dto,1,,1,,,,1
Public Class,cn.edu.bit.cangjingge.common.dto.AliyunOssAuthorization,1,3,1,,1,0,1
Public Constructor,cn.edu.bit.cangjingge.common.dto.AliyunOssAuthorization.AliyunOssAuthorization,,,,1,,,1
Package,cn.edu.bit.cangjingge.common.entity,0,,0,,,,0
Public Class,cn.edu.bit.cangjingge.common.entity.Bookshelf,0,4,0,,1,0,0
Public Class,cn.edu.bit.cangjingge.common.entity.Fiction,0,6,0,,1,0,0
Public Class,cn.edu.bit.cangjingge.common.entity.FictionChapter,0,5,0,,1,0,0
Public Class,cn.edu.bit.cangjingge.common.entity.FictionReview,0,7,0,,1,0,0
Package,cn.edu.bit.cangjingge.common.exception,2,,3,,,,9
Public Class,cn.edu.bit.cangjingge.common.exception.BusinessException,1,3,1,,2,50,2
Public Constructor,cn.edu.bit.cangjingge.common.exception.BusinessException.BusinessException,,,,1,,,1
Public Constructor,cn.edu.bit.cangjingge.common.exception.BusinessException.BusinessException,,,,1,,,1
Public Class,cn.edu.bit.cangjingge.common.exception.RestExceptionHandler,2,15,3,,2,0,7
Public Method,cn.edu.bit.cangjingge.common.exception.RestExceptionHandler.handleBusinessException,,,,1,,,1
Public Method,cn.edu.bit.cangjingge.common.exception.RestExceptionHandler.handleRuntimeException,,,,2,,,2
Public Method,cn.edu.bit.cangjingge.common.exception.RestExceptionHandler.handleUndeclaredThrowableException,,,,3,,,3
Public Method,cn.edu.bit.cangjingge.common.exception.RestExceptionHandler.handleUnknownError,,,,1,,,1
Package,cn.edu.bit.cangjingge.common.response,1,,2,,,,7
Public Generic Class,cn.edu.bit.cangjingge.common.response.Response,0,6,0,,1,0,0
Generic Parameter,cn.edu.bit.cangjingge.common.response.Response.T,0,0,0,,1,0,0
Public Enum Type,cn.edu.bit.cangjingge.common.response.ResponseStatusEnum,0,2,1,,1,,1
Constructor,cn.edu.bit.cangjingge.common.response.ResponseStatusEnum.ResponseStatusEnum,,,,1,,,1
Public Implicit Method,cn.edu.bit.cangjingge.common.response.ResponseStatusEnum.valueOf,,,,,,,0
Public Implicit Method,cn.edu.bit.cangjingge.common.response.ResponseStatusEnum.values,,,,,,,0
Public Class,cn.edu.bit.cangjingge.common.response.ResponseUnpacker,2,3,2,,1,0,2
Public Static Generic Method,cn.edu.bit.cangjingge.common.response.ResponseUnpacker.unpack,,,,2,,,2
Generic Parameter,cn.edu.bit.cangjingge.common.response.ResponseUnpacker.unpack.T,0,0,0,,1,0,0
Public Class,cn.edu.bit.cangjingge.common.response.ResponseUtil,1,3,1,,1,0,4
Public Static Method,cn.edu.bit.cangjingge.common.response.ResponseUtil.error,,,,1,,,1
Public Static Generic Method,cn.edu.bit.cangjingge.common.response.ResponseUtil.success,,,,1,,,1
Public Static Method,cn.edu.bit.cangjingge.common.response.ResponseUtil.success,,,,1,,,1
Generic Parameter,cn.edu.bit.cangjingge.common.response.ResponseUtil.success.T,0,0,0,,1,0,0
