Kind,Name,AvgCyclomatic,CountClassCoupled,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,SumCyclomatic,PercentLackOfCohesion
Package,cn.edu.bit.cangjingge.common,0,,,0,,0,
Package,cn.edu.bit.cangjingge.common.dto,1,,,1,,1,
Public Class,cn.edu.bit.cangjingge.common.dto.AliyunOssAuthorization,1,3,,1,1,1,0
Public Constructor,cn.edu.bit.cangjingge.common.dto.AliyunOssAuthorization.AliyunOssAuthorization,,,1,,,1,
Package,cn.edu.bit.cangjingge.common.entity,0,,,0,,0,
Public Class,cn.edu.bit.cangjingge.common.entity.Bookshelf,0,4,,0,1,0,0
Public Class,cn.edu.bit.cangjingge.common.entity.Fiction,0,6,,0,1,0,0
Public Class,cn.edu.bit.cangjingge.common.entity.FictionChapter,0,5,,0,1,0,0
Public Class,cn.edu.bit.cangjingge.common.entity.FictionReview,0,7,,0,1,0,0
Package,cn.edu.bit.cangjingge.common.exception,1,,,1,,2,
Public Class,cn.edu.bit.cangjingge.common.exception.BusinessException,1,3,,1,2,2,50
Public Constructor,cn.edu.bit.cangjingge.common.exception.BusinessException.BusinessException,,,1,,,1,
Public Constructor,cn.edu.bit.cangjingge.common.exception.BusinessException.BusinessException,,,1,,,1,
Package,cn.edu.bit.cangjingge.common.handler,2,,,5,,15,
Public Class,cn.edu.bit.cangjingge.common.handler.RequiresAuthorizationAspectHandler,3,17,,5,1,8,67
Private Static Method,cn.edu.bit.cangjingge.common.handler.RequiresAuthorizationAspectHandler.checkAccess,,,5,,,5,
Public Method,cn.edu.bit.cangjingge.common.handler.RequiresAuthorizationAspectHandler.doCheck,,,2,,,2,
Private Static Generic Method,cn.edu.bit.cangjingge.common.handler.RequiresAuthorizationAspectHandler.getJoinPointAnnotation,,,1,,,1,
Generic Parameter,cn.edu.bit.cangjingge.common.handler.RequiresAuthorizationAspectHandler.getJoinPointAnnotation.T,0,1,,0,0,0,0
Public Class,cn.edu.bit.cangjingge.common.handler.RestExceptionHandler,2,15,,3,2,7,0
Public Method,cn.edu.bit.cangjingge.common.handler.RestExceptionHandler.handleBusinessException,,,1,,,1,
Public Method,cn.edu.bit.cangjingge.common.handler.RestExceptionHandler.handleRuntimeException,,,2,,,2,
Public Method,cn.edu.bit.cangjingge.common.handler.RestExceptionHandler.handleUndeclaredThrowableException,,,3,,,3,
Public Method,cn.edu.bit.cangjingge.common.handler.RestExceptionHandler.handleUnknownError,,,1,,,1,
Package,cn.edu.bit.cangjingge.common.response,0,,,1,,1,
Public Generic Class,cn.edu.bit.cangjingge.common.response.Response,0,6,,0,1,0,0
Generic Parameter,cn.edu.bit.cangjingge.common.response.Response.T,0,0,,0,1,0,0
Public Enum Type,cn.edu.bit.cangjingge.common.response.ResponseStatusEnum,0,2,,1,1,1,
Constructor,cn.edu.bit.cangjingge.common.response.ResponseStatusEnum.ResponseStatusEnum,,,1,,,1,
Public Implicit Method,cn.edu.bit.cangjingge.common.response.ResponseStatusEnum.valueOf,,,,,,0,
Public Implicit Method,cn.edu.bit.cangjingge.common.response.ResponseStatusEnum.values,,,,,,0,
Package,cn.edu.bit.cangjingge.common.security,0,,,0,,0,
Public Annotation,cn.edu.bit.cangjingge.common.security.RequiresAuthorization,0,2,,0,0,0,0
