Kind,Name,AvgCyclomatic,MaxCyclomatic,SumCyclomatic,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion
Package,(Unnamed+AF8-Package),0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin+AC0-interface/src/main/java/com/zxl/grocery/microservice/api/authority/PermissionInfo.java,1,1,13,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin+AC0-interface/src/main/java/com/zxl/grocery/microservice/api/log/LogInfo.java,1,1,16,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin+AC0-interface/src/main/java/com/zxl/grocery/microservice/api/user/UserInfo.java,1,1,12,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/AdminBootstarp.java,1,1,1,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/biz/ElementBiz.java,1,1,5,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/biz/GateLogBiz.java,1,1,2,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/biz/GroupBiz.java,2,5,22,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/biz/GroupTypeBiz.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/biz/MenuBiz.java,1,2,8,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/biz/ResourceAuthorityBiz.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/biz/UserBiz.java,1,1,3,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/config/MapperConfiguration.java,1,1,2,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/config/MybatisConfiguration.java,4,16,22,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/config/SwaggerConfiguration.java,1,1,4,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/config/WebConfiguration.java,1,1,5,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/config/druid/DruidStatFilter.java,1,1,1,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/config/druid/DruidStatViewServlet.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/constant/AdminCommonConstant.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/entity/Element.java,1,1,44,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/entity/GateLog.java,1,1,16,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/entity/Group.java,1,1,48,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/entity/GroupType.java,1,1,40,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/entity/Menu.java,1,1,50,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/entity/ResourceAuthority.java,1,1,42,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/entity/TestUser.java,1,1,8,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/entity/User.java,1,1,56,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/ElementMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/GateLogMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/GroupMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/GroupTypeMapper.java,0,0,0,,,
